timestamp	outcome	moves_count	white_username	white_rating	black_username	black_rating	time_class	service	eco_name	eco_code	eco_category	white_acl	black_acl	white_opening_score	white_advantage_capitalization_winrate	white_resourcefulness_windrawrate	white_tactics_score	white_inaccuracies_per_game	white_inaccuracies_per_opening	white_inaccuracies_per_middlegame	white_inaccuracies_per_endgame	white_mistakes_per_game	white_mistakes_per_opening	white_mistakes_per_middlegame	white_mistakes_per_endgame	white_blunders_per_game	white_blunders_per_opening	white_blunders_per_middlegame	white_blunders_per_endgame	white_endgame_winrate	white_endgame_winrate_with_equal	white_endgame_winrate_with_advantage	white_endgame_winrate_with_disadvantage	white_long_thinking_outcome_score	white_time_advantage_score	white_significant_time_advantage_winrate	white_significant_time_disadvantage_winrate	black_opening_score	black_advantage_capitalization_winrate	black_resourcefulness_windrawrate	black_tactics_score	black_inaccuracies_per_game	black_inaccuracies_per_opening	black_inaccuracies_per_middlegame	black_inaccuracies_per_endgame	black_mistakes_per_game	black_mistakes_per_opening	black_mistakes_per_middlegame	black_mistakes_per_endgame	black_blunders_per_game	black_blunders_per_opening	black_blunders_per_middlegame	black_blunders_per_endgame	black_endgame_winrate	black_endgame_winrate_with_equal	black_endgame_winrate_with_advantage	black_endgame_winrate_with_disadvantage	black_long_thinking_outcome_score	black_time_advantage_score	black_significant_time_advantage_winrate	black_significant_time_disadvantage_winrate
1630368486	0	64	ieshuaganocry	1901	jdlax36	1869	blitz	SERVICE_LICHESS	Queen's Pawn Game: Mason Attack	D00	Queen's Pawn Game	-29	-19	1	0	0	0.1938	0.1875	0.2500	0.2500	0.1389	0.1094	0.0000	0.2000	0.0833	0.1250	0.0000	0.0500	0.1944	0.0000	None	None	0.0000	0.5000	0.5772	0	None	1	1	1	0.4938	0.1875	0.1250	0.2500	0.1667	0.0469	0.0000	0.1000	0.0278	0.0781	0.0000	0.1000	0.0833	1.0000	None	1.0000	None	0.6000	0.4228	None	1
1630524120	1	20	endriu777	1870	ieshuaganocry	1895	blitz	SERVICE_LICHESS	King's Gambit Accepted, King's Knight Gambit	C37	King's Gambit Accepted, King's Knight Gambit	-15	-35	0	1	None	0.6571	0.1429	0.2500	0.0769	None	0.0476	0.0000	0.0769	None	0.0476	0.1250	0.0000	None	None	None	None	None	None	1.0000	None	None	0	None	0	0.2400	0.3000	0.1250	0.4167	None	0.0500	0.1250	0.0000	None	0.1500	0.2500	0.0833	None	None	None	None	None	None	0.0000	None	None
1630522980	0	40	hooligandi	1808	ieshuaganocry	1901	blitz	SERVICE_LICHESS	Four Knights Game: Scotch Variation Accepted	C47	Four Knights Game	-40	-10	1	None	0	0.2400	0.2500	0.2500	0.2000	0.3333	0.0500	0.0000	0.0500	0.0833	0.1750	0.0000	0.2500	0.1667	0.0000	None	None	0.0000	0.0000	0.9870	0	None	0	1	None	0.5500	0.0750	0.2500	0.0500	0.0000	0.0500	0.0000	0.1000	0.0000	0.0750	0.0000	0.1500	0.0000	1.0000	None	1.0000	None	0.6667	0.0130	None	1
1630522530	1	34	ieshuaganocry	1901	hooligandi	1808	blitz	SERVICE_LICHESS	Sicilian Defense: Accelerated Dragon	B54	Sicilian Defense	-9	-19	1	1	1	0.9059	0.2353	0.1250	0.3333	0.1818	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	None	None	0.0000	0.0000	None	1	1	0	0	0.5636	0.1818	0.0000	0.2667	0.2000	0.0606	0.0000	0.0667	0.1000	0.0606	0.0000	0.0000	0.2000	0.0000	0.0000	None	None	None	1.0000	0	None
1630522212	0	57	hooligandi	1808	ieshuaganocry	1901	blitz	SERVICE_LICHESS	French Defense: Advance Variation	C02	French Defense	-25	-20	0	0	0	0.2474	0.2807	0.2500	0.2778	0.2903	0.0526	0.0000	0.1111	0.0323	0.1228	0.1250	0.1111	0.1290	0.0000	0.0000	None	None	None	0.8716	None	None	1	1	1	0.4368	0.2632	0.2500	0.0588	0.3750	0.0351	0.0000	0.0588	0.0312	0.0877	0.1250	0.1765	0.0312	1.0000	1.0000	None	None	None	0.1284	None	None
1630521800	1	24	ieshuaganocry	1901	hooligandi	1808	blitz	SERVICE_LICHESS	Queen's Pawn Game: London System	D02	Queen's Pawn Game	-10	-49	1	1	None	0.7667	0.0833	0.0000	0.1250	None	0.0000	0.0000	0.0000	None	0.0417	0.0000	0.0625	None	None	None	None	None	None	0.2619	None	None	1	None	0	0.1217	0.1739	0.2500	0.1333	None	0.1739	0.0000	0.2667	None	0.1739	0.0000	0.2667	None	None	None	None	None	None	0.7381	None	None
1630521672	1	48	hooligandi	1808	ieshuaganocry	1901	blitz	SERVICE_LICHESS	Scotch Game	C45	Scotch Game	-55	-20	1	None	1	0.2510	0.2653	0.2500	0.2778	0.2000	0.0408	0.1250	0.0278	0.0000	0.2245	0.0000	0.2222	0.6000	1.0000	None	None	1.0000	0.0000	0.9677	None	None	0	0	None	0.6167	0.1458	0.1250	0.1389	0.2500	0.1042	0.3750	0.0556	0.0000	0.0417	0.0000	0.0556	0.0000	0.0000	None	0.0000	None	0.0000	0.0323	None	None
1630586978	1	36	ieshuaganocry	1901	rockypotter	1904	blitz	SERVICE_LICHESS	Sicilian Defense: French Variation	B40	Sicilian Defense	-20	-19	1	1	1	0.5676	0.1081	0.0000	0.0833	0.1765	0.1081	0.0000	0.1667	0.1176	0.0541	0.0000	0.0833	0.0588	1.0000	None	1.0000	None	0.5000	0.7353	1	None	1	0	0	0.5778	0.2222	0.1250	0.1818	0.2941	0.0556	0.0000	0.0909	0.0588	0.0556	0.0000	0.0909	0.0588	0.0000	None	None	0.0000	0.3333	0.2647	None	0
1630708611	1	64	gennadiypodlesskich	1879	ieshuaganocry	1888	blitz	SERVICE_LICHESS	Petrov's Defense	C42	Petrov's Defense	-4	-20	1	1	1	0.5938	0.1846	0.3750	0.3333	0.0952	0.0308	0.0000	0.1333	0.0000	0.0615	0.0000	0.1333	0.0476	1.0000	None	None	1.0000	0.3333	0.2927	None	None	0	0	0	0.2562	0.1250	0.1250	0.2000	0.0976	0.0781	0.1250	0.0667	0.0732	0.1562	0.0000	0.1333	0.1951	0.0000	None	0.0000	None	0.5000	0.7073	None	None
1630657537	1	54	kartelsn	1852	ieshuaganocry	1894	blitz	SERVICE_LICHESS	Russian Game: French Attack	C42	Russian Game	-10	-39	1	1	None	0.9333	0.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.1111	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	None	1.0000	None	0.8000	0.0392	None	1	1	None	0	0.2189	0.2264	0.0000	0.2593	0.2778	0.0755	0.0000	0.1482	0.0000	0.1509	0.0000	0.0741	0.3333	0.0000	None	None	0.0000	0.0000	0.9608	0	None
1630764392	0	51	ali83254	1895	ieshuaganocry	1890	blitz	SERVICE_LICHESS	King's Pawn Game: Macleod Attack	C20	King's Pawn Game	-64	-10	0	None	0	0.1706	0.2745	0.1250	0.1000	0.3636	0.1372	0.1250	0.1000	0.1515	0.1176	0.0000	0.0000	0.1818	0.0000	0.0000	None	None	0.6667	0.4674	None	None	0	1	None	0.7804	0.1372	0.3750	0.1111	0.0882	0.0588	0.1250	0.0000	0.0588	0.0196	0.0000	0.0000	0.0294	1.0000	1.0000	None	None	0.6000	0.5326	None	None
1630761457	0	38	ieshuaganocry	1884	blacky44	1964	blitz	SERVICE_LICHESS	Scandinavian Defense: Modern Variation	B01	Scandinavian Defense	-39	-14	0	None	0	0.5842	0.3421	0.1250	0.0000	0.5000	0.0526	0.1250	0.0000	0.0417	0.0526	0.0000	0.1667	0.0417	0.0000	0.0000	None	None	0.5000	0.8382	0	None	1	1	None	0.7895	0.1316	0.1250	0.4000	0.0800	0.0263	0.0000	0.0000	0.0400	0.0263	0.0000	0.2000	0.0000	1.0000	1.0000	None	None	0.6667	0.1618	None	1
1630755238	0	44	ieshuaganocry	1889	scultetus	1951	blitz	SERVICE_LICHESS	Queen's Pawn Game: London System	D02	Queen's Pawn Game	-40	-10	1	None	0	0.5182	0.2727	0.0000	0.3333	0.3333	0.1364	0.0000	0.1333	0.1905	0.0455	0.0000	0.0000	0.0952	0.0000	None	None	0.0000	0.3333	0.0120	None	0	1	1	None	0.7000	0.2046	0.0000	0.2000	0.2857	0.0909	0.0000	0.2000	0.0476	0.0227	0.0000	0.0000	0.0476	1.0000	None	1.0000	None	1.0000	0.9880	1	None
