Fund Name:,SPDR® S&P® Biotech ETF,,,,,,
Ticker Symbol:,XBI,,,,,,
Holdings:,As of 09-Apr-2024,,,,,,
,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
EXACT SCIENCES CORP,EXAS,30063P105,2719951,1.296937,-,1244454,USD
CYTOKINETICS INC,CYTK,23282W605,BBBSBJ5,1.196985,-,1136457,USD
ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,BKX9VD3,1.174609,-,6701099,USD
CRINETICS PHARMACEUTICALS IN,CRNX,22663K107,BDD19F8,1.163121,-,1766747,USD
NATERA INC,NTRA,632307104,BYQRG48,1.147793,-,839002,USD
MODERNA INC,MRNA,60770K107,BGSXTS3,1.135729,-,725146,USD
ROIVANT SCIENCES LTD,ROIV,G76279101,BMW4NZ9,1.120267,-,6996015,USD
EXELIXIS INC,EXEL,30161Q104,2576941,1.119863,-,3364070,USD
KRYSTAL BIOTECH INC,KRYS,501147102,BD6JX35,1.097003,-,434816,USD
ALNYLAM PHARMACEUTICALS INC,ALNY,02043Q107,B00FWN1,1.091141,-,498712,USD
RHYTHM PHARMACEUTICALS INC,RYTM,76243J105,BF2YWG4,1.090301,-,1781456,USD
BIOMARIN PHARMACEUTICAL INC,BMRN,09061G101,2437071,1.085612,-,869355,USD
REVOLUTION MEDICINES INC,RVMD,76155X100,BL71K91,1.072659,-,2316831,USD
DYNE THERAPEUTICS INC,DYN,26818M108,BN15WD1,1.072277,-,2805915,USD
CEREVEL THERAPEUTICS HOLDING,CERE,15678U128,BMVMJ12,1.070947,-,1811304,USD
SAREPTA THERAPEUTICS INC,SRPT,803607100,B8DPDT7,1.070562,-,600747,USD
VIKING THERAPEUTICS INC,VKTX,92686J106,BQQG1V1,1.063869,-,1040861,USD
INSMED INC,INSM,457669307,2614487,1.055747,-,2685726,USD
ULTRAGENYX PHARMACEUTICAL IN,RARE,90400D108,BJ62Z18,1.049182,-,1478628,USD
BLUEPRINT MEDICINES CORP,BPMC,09627Y109,BWY52P3,1.047449,-,809500,USD
NEUROCRINE BIOSCIENCES INC,NBIX,64125C109,2623911,1.046468,-,536678,USD
ALPINE IMMUNE SCIENCES INC,ALPN,02083G100,BYX38M1,1.044676,-,1911616,USD
AMGEN INC,AMGN,31162100,2023607,1.035728,-,272972,USD
IMMUNOVANT INC,IMVT,45258J102,BJRFSB7,1.031373,-,2357729,USD
BRIDGEBIO PHARMA INC,BBIO,10806X102,BK1KWG8,1.028696,-,2578250,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,1.025838,-,180716,USD
MADRIGAL PHARMACEUTICALS INC,MDGL,558868105,BD59BS7,1.024057,-,292649,USD
UNITED THERAPEUTICS CORP,UTHR,91307C102,2430412,1.022681,-,307421,USD
REGENERON PHARMACEUTICALS,REGN,75886F107,2730190,1.021847,-,77140,USD
IONIS PHARMACEUTICALS INC,IONS,462222100,BDJ0LS6,1.020947,-,1698518,USD
HALOZYME THERAPEUTICS INC,HALO,40637H109,2975098,1.008374,-,1790472,USD
AMICUS THERAPEUTICS INC,FOLD,03152W109,B19FQ48,1.001695,-,6074529,USD
ABBVIE INC,ABBV,00287Y109,B92SR70,0.997491,-,417751,USD
VERICEL CORP,VCEL,92346J108,BSBMN89,0.992096,-,1404285,USD
SYNDAX PHARMACEUTICALS INC,SNDX,87164F105,BN7Q7R7,0.981609,-,3041065,USD
IDEAYA BIOSCIENCES INC,IDYA,45166A102,BK0VHF6,0.979754,-,1639941,USD
GILEAD SCIENCES INC,GILD,375558103,2369174,0.976232,-,994586,USD
BIOGEN INC,BIIB,09062X103,2455965,0.970058,-,334696,USD
DENALI THERAPEUTICS INC,DNLI,24823R105,BD2B4V0,0.966747,-,3543492,USD
INCYTE CORP,INCY,45337C102,2471950,0.966154,-,1244905,USD
DYNAVAX TECHNOLOGIES CORP,DVAX,268158201,BRJZSK0,0.959204,-,5686190,USD
ALKERMES PLC,ALKS,G01767105,B3P6D26,0.958246,-,2554424,USD
ROCKET PHARMACEUTICALS INC,RCKT,77313F106,BDFKQ07,0.953774,-,2680911,USD
GERON CORP,GERN,374163103,2370381,0.945669,-,19645360,USD
TG THERAPEUTICS INC,TGTX,88322Q108,B828K63,0.943602,-,4452735,USD
TWIST BIOSCIENCE CORP,TWST,90184D100,BGKG6G7,0.941409,-,1988735,USD
BIOHAVEN LTD,BHVN,G1110E107,BPLZ7S5,0.94023,-,1288881,USD
IRONWOOD PHARMACEUTICALS INC,IRWD,46333X108,B3MZ6K5,0.939194,-,8292714,USD
APELLIS PHARMACEUTICALS INC,APLS,03753U106,BYTQ6X1,0.937852,-,1212384,USD
VAXCYTE INC,PCVX,92243G108,BKPVGH6,0.930577,-,1027875,USD
PTC THERAPEUTICS INC,PTCT,69366J200,B17VCN9,0.928806,-,2397899,USD
IMMUNITYBIO INC,IBRX,45256X103,BNSP0B8,0.92298,-,10676447,USD
INTELLIA THERAPEUTICS INC,NTLA,45826J105,BYZM6C2,0.912463,-,2493003,USD
SPRINGWORKS THERAPEUTICS INC,SWTX,85205L107,BGMGM89,0.907932,-,1463018,USD
KYMERA THERAPEUTICS INC,KYMR,501575104,BMPRZV5,0.906796,-,1717992,USD
CELLDEX THERAPEUTICS INC,CLDX,15117B202,BJLV8T9,0.889047,-,1559552,USD
IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,BF0DMK7,0.882938,-,4758979,USD
CATALYST PHARMACEUTICALS INC,CPRX,14888U101,B1G7Q03,0.878868,-,3966036,USD
ARCELLX INC,ACLX,03940C100,BPCJ1Q2,0.877666,-,1032662,USD
KEROS THERAPEUTICS INC,KROS,492327101,BM7V485,0.872048,-,973793,USD
NUVALENT INC A,NUVL,670703107,BMVBZD3,0.86979,-,885383,USD
CRISPR THERAPEUTICS AG,CRSP,H17182108,BDHF4K6,0.866189,-,946775,USD
ARDELYX INC,ARDX,39697107,BN89V40,0.865175,-,8598048,USD
BIOCRYST PHARMACEUTICALS INC,BCRX,09058V103,2100362,0.861569,-,12789808,USD
RECURSION PHARMACEUTICALS A,RXRX,75629V104,BM9FJ13,0.851795,-,6677076,USD
NOVAVAX INC,NVAX,670002401,BJDQXG4,0.850412,-,13709518,USD
ALTIMMUNE INC,ALT,02155H200,BFY7DC4,0.847743,-,7191174,USD
ARROWHEAD PHARMACEUTICALS IN,ARWR,04280A100,BYQBFJ8,0.822882,-,2233692,USD
BEAM THERAPEUTICS INC,BEAM,07373V105,BK6L288,0.819199,-,1990858,USD
PROTHENA CORP PLC,PRTA,G72800108,B91XRN2,0.816794,-,2472413,USD
ACADIA PHARMACEUTICALS INC,ACAD,4225108,2713317,0.811931,-,3187552,USD
INHIBRX INC,INBX,45720L107,BK1MBC3,0.806605,-,1645422,USD
AKERO THERAPEUTICS INC,AKRO,00973Y108,BK7Y2V9,0.79839,-,2396344,USD
MIRUM PHARMACEUTICALS INC,MIRM,604749101,BJDX8Y8,0.797665,-,2169372,USD
PROTAGONIST THERAPEUTICS INC,PTGX,7.44E+106,BDCBCD8,0.796726,-,1948873,USD
VIRIDIAN THERAPEUTICS INC,VRDN,92790C104,BMDH2B6,0.787811,-,3331480,USD
MORPHIC HOLDING INC,MORF,61775R105,BK8M4J4,0.776831,-,1798930,USD
CABALETTA BIO INC,CABA,12674W109,BK5MWR1,0.762705,-,2887699,USD
C4 THERAPEUTICS INC,CCCC,12529R107,BKX9NQ0,0.759747,-,6792434,USD
VERA THERAPEUTICS INC,VERA,92337R101,BL55460,0.757663,-,1424090,USD
VERACYTE INC,VCYT,92337F107,BFTWZY0,0.75608,-,2513974,USD
AGIOS PHARMACEUTICALS INC,AGIO,00847X104,BCBVTX1,0.751457,-,1802257,USD
SAGE THERAPEUTICS INC,SAGE,78667J108,BP4GNK9,0.74128,-,3197327,USD
KURA ONCOLOGY INC,KURA,50127T109,BYZD465,0.736057,-,2536157,USD
MACROGENICS INC,MGNX,556099109,BFDV8K0,0.729953,-,2873633,USD
BIOMEA FUSION INC,BMEA,09077A106,BNKF6N0,0.700118,-,3897414,USD
ARCUS BIOSCIENCES INC,RCUS,03969F109,BDZT9Y9,0.677751,-,2767512,USD
EDITAS MEDICINE INC,EDIT,28106W103,BZ8FPH3,0.645952,-,6565943,USD
MYRIAD GENETICS INC,MYGN,62855J104,2614153,0.594977,-,2030413,USD
AVIDITY BIOSCIENCES INC,RNA,05370A108,BMWHPY1,0.594252,-,1637408,USD
SCHOLAR ROCK HOLDING CORP,SRRK,80706P103,BFZQ0L8,0.585906,-,2817051,USD
89BIO INC,ETNB,282559103,BK1K484,0.575755,-,3763795,USD
ARCTURUS THERAPEUTICS HOLDIN,ARCT,03969T109,BKC9SX3,0.566889,-,1275858,USD
XENCOR INC,XNCR,98401F105,BGCYWN8,0.565192,-,1868803,USD
FATE THERAPEUTICS INC,FATE,31189P102,BCZS820,0.563997,-,5944908,USD
COGENT BIOSCIENCES INC,COGT,19240Q201,BLR6XK8,0.563372,-,5742925,USD
ZENTALIS PHARMACEUTICALS INC,ZNTL,98943L107,BMQ5T49,0.536341,-,2428014,USD
REPLIMUNE GROUP INC,REPL,76029N106,BDDVW37,0.534483,-,5231392,USD
SANA BIOTECHNOLOGY INC,SANA,799566104,BMFJJ97,0.529639,-,4040623,USD
SOLENO THERAPEUTICS INC,SLNO,834203309,BL6JK96,0.498705,-,864813,USD
4D MOLECULAR THERAPEUTICS IN,FDMT,3.51E+104,BKLXFX5,0.482017,-,1267383,USD
VIR BIOTECHNOLOGY INC,VIR,92764N102,BK4PZ38,0.478729,-,3579416,USD
ADMA BIOLOGICS INC,ADMA,899104,B9NSBM2,0.476653,-,5558732,USD
TRAVERE THERAPEUTICS INC,TVTX,89422G107,BLFGJD5,0.466892,-,4849614,USD
AVID BIOSERVICES INC,CDMO,05368M106,BFMZ4W7,0.432097,-,4282208,USD
VERVE THERAPEUTICS INC,VERV,92539P101,BNKGXX2,0.431793,-,3516270,USD
APOGEE THERAPEUTICS INC,APGE,03770N101,BM9HHL5,0.426238,-,538790,USD
NURIX THERAPEUTICS INC,NRIX,67080M103,BMVLGP2,0.4226,-,1722673,USD
CAREDX INC,CDNA,14167L103,BP3YM74,0.415028,-,2972142,USD
REGENXBIO INC,RGNX,75901B107,BZ0G875,0.390983,-,1465517,USD
DECIPHERA PHARMACEUTICALS IN,DCPH,24344T101,BZ1LFB2,0.39028,-,1778092,USD
OLEMA PHARMACEUTICALS INC,OLMA,68062P106,BMZ4LN0,0.388555,-,2401253,USD
RELAY THERAPEUTICS INC,RLAY,75943R102,BN2R582,0.387895,-,3781048,USD
DISC MEDICINE INC,IRON,254604101,BMGJZJ8,0.377304,-,838055,USD
MANNKIND CORP,MNKD,56400P706,BF081J4,0.371679,-,5964864,USD
ALLOGENE THERAPEUTICS INC,ALLO,19770106,BFZNYB7,0.369259,-,6401838,USD
ANAVEX LIFE SCIENCES CORP,AVXL,32797300,BYTYP72,0.336293,-,5458441,USD
DAY ONE BIOPHARMACEUTICALS I,DAWN,23954D109,BLB0YH0,0.317706,-,1574279,USD
SUMMIT THERAPEUTICS INC,SMMT,86627T108,BMTVQS7,0.303371,-,5298206,USD
